album_id,album_name,album_type,release_date,total_tracks,url
56paKQ8XwNS0fSkWaMiJMm,TABOLA BALE,single,2025-04-03,1,https://open.spotify.com/album/56paKQ8XwNS0fSkWaMiJMm
17ogIXTTf66hZH9vwQyvwE,Yang Terbaik,album,2025-05-09,7,https://open.spotify.com/album/17ogIXTTf66hZH9vwQyvwE
2CpzRsdtSHpkrQ76WgzaZ5,Berikan Yang Terbaik,single,2025-07-04,1,https://open.spotify.com/album/2CpzRsdtSHpkrQ76WgzaZ5
5YwzYvSVuWEUsl9LT5VEUG,Lagu Orang Dewasa,single,2025-07-23,1,https://open.spotify.com/album/5YwzYvSVuWEUsl9LT5VEUG
0uHVsjIOPkXKP5aAGmaira,Unreleased,album,2025-07-25,11,https://open.spotify.com/album/0uHVsjIOPkXKP5aAGmaira
6BcoQfsbDqEHspduyCkacx,NISCAYA NIRKALA,single,2025-07-14,1,https://open.spotify.com/album/6BcoQfsbDqEHspduyCkacx
7nwR8cZXFACiyyfy3vxEYo,Bubblegum,single,2025-08-15,1,https://open.spotify.com/album/7nwR8cZXFACiyyfy3vxEYo
3SfzTWuMHotUJWwVtHcMvE,Waktu Yang Berbeda,single,2025-07-04,1,https://open.spotify.com/album/3SfzTWuMHotUJWwVtHcMvE
3sELUzVXhGl4v2ibMbzYJ2,Ocean of Time,single,2025-08-26,1,https://open.spotify.com/album/3sELUzVXhGl4v2ibMbzYJ2
59nb0p7q6mCKMPTxzPbvHV,Cinta Tak Bertemu,single,2025-07-09,1,https://open.spotify.com/album/59nb0p7q6mCKMPTxzPbvHV
4nRBrB1QnKdrP8YAcAcwzy,Samar,single,2025-05-16,1,https://open.spotify.com/album/4nRBrB1QnKdrP8YAcAcwzy
49S1Wi46KfkUTotd2q3y22,Baik Saja,single,2024-11-11,1,https://open.spotify.com/album/49S1Wi46KfkUTotd2q3y22
4WsGo8wAtFE34qOcVpDiHK,Kembara Laut,single,2025-06-12,1,https://open.spotify.com/album/4WsGo8wAtFE34qOcVpDiHK
3HhUAxZKzNOjTyTxc5zvzk,Kiss Me Through the Phone,single,2025-07-11,1,https://open.spotify.com/album/3HhUAxZKzNOjTyTxc5zvzk
5PpRnlcgVCPvYw2IHBfBuL,Pengelana Cita,single,2025-06-09,1,https://open.spotify.com/album/5PpRnlcgVCPvYw2IHBfBuL
21XVpTY446abEdiMtyTA1F,Sambut Tanganku,single,2025-08-29,1,https://open.spotify.com/album/21XVpTY446abEdiMtyTA1F
09jEiB9l4n6OMiZ29VPJ1k,Sampai Kapan,single,2025-05-31,1,https://open.spotify.com/album/09jEiB9l4n6OMiZ29VPJ1k
1NwzftYAtUn6yMuJqJ6SYK,Don't Say I Never Loved You (DSINLY),single,2025-05-23,1,https://open.spotify.com/album/1NwzftYAtUn6yMuJqJ6SYK
6RcHoPLbYB0bqcxin5KaCx,Stay (If Without You),single,2025-07-08,1,https://open.spotify.com/album/6RcHoPLbYB0bqcxin5KaCx
5uR59njXlLIZlldDRszXho,AKU YANG MEMILIHMU,single,2025-09-03,1,https://open.spotify.com/album/5uR59njXlLIZlldDRszXho
1EwANbtgPYKvy8uoGUsECM,Kausa Nusantara,album,2024-02-09,11,https://open.spotify.com/album/1EwANbtgPYKvy8uoGUsECM
7vFoeecNFoGabBqzQJjA5h,Tak Lagi Sendiri,single,2024-03-22,1,https://open.spotify.com/album/7vFoeecNFoGabBqzQJjA5h
0rG0eNyqByRIBkrvEL3DKh,Bangun Orang Waras,single,2024-10-11,1,https://open.spotify.com/album/0rG0eNyqByRIBkrvEL3DKh
5esuY8C9LUggVuV7XQ24Ky,The Surrealist Party,album,2023-11-24,10,https://open.spotify.com/album/5esuY8C9LUggVuV7XQ24Ky
12Vta9LZSos7wF8yRxVaN3,Lepas,single,2025-08-01,4,https://open.spotify.com/album/12Vta9LZSos7wF8yRxVaN3
48yswO4zq9gWwOOStJdhVg,Ku Cemburu,single,2025-07-18,1,https://open.spotify.com/album/48yswO4zq9gWwOOStJdhVg
5jJlPb5FV1Sikgzdd42Qdd,Semesta,album,2015,8,https://open.spotify.com/album/5jJlPb5FV1Sikgzdd42Qdd
6foteK8CV26hHsEivsIFPs,Tak Lagi Berarti,single,2020-10-30,1,https://open.spotify.com/album/6foteK8CV26hHsEivsIFPs
380sI87fu4TvIFAzZqc9Ty,TERUNATERUNATERUNA,album,2020-12-12,13,https://open.spotify.com/album/380sI87fu4TvIFAzZqc9Ty
0sAjRfNbWnJCTS59g8q6hC,Lepaskan,single,2025-07-25,1,https://open.spotify.com/album/0sAjRfNbWnJCTS59g8q6hC
7yTQOmoBGXQngdnoovGOgF,Electric Pleasure,single,2025-09-01,1,https://open.spotify.com/album/7yTQOmoBGXQngdnoovGOgF
5EKpCvUTLEgbg6ObcOrNCI,Awal,single,2025-06-13,1,https://open.spotify.com/album/5EKpCvUTLEgbg6ObcOrNCI
7Aka3T0OU7wCZzgrUtKUYH,Pemimpi,single,2025-08-08,1,https://open.spotify.com/album/7Aka3T0OU7wCZzgrUtKUYH
2rtYNVVKESAd6byQ8SnxRZ,Take Me Out,single,2025-08-28,1,https://open.spotify.com/album/2rtYNVVKESAd6byQ8SnxRZ
