artist,degree_centrality,betweenness,eigenvector,avg_popularity
Andrew Choi,0.07627118644067797,0.0010864841373315949,0.0002773191477870916,95.33333333333333
Danny Chung,0.05084745762711865,0.0,0.0002195191440066361,96.0
KEVIN WOO,0.05084745762711865,0.0,0.0002195191440066361,96.0
KPop Demon Hunters Cast,0.1016949152542373,0.003911342894393741,0.00031808538504067834,95.57142857142857
Neckwav,0.05084745762711865,0.0,0.0002195191440066361,96.0
Saja Boys,0.05084745762711865,0.0,0.0002195191440066361,96.0
samUIL Lee,0.05084745762711865,0.0,0.0002195191440066361,96.0
Juicy Luicy,0.01694915254237288,0.00014486455164421265,5.138571007424806e-84,71.0
Mawar de Jongh,0.00847457627118644,0.0,3.633518404958669e-84,69.0
Aby Sarai,0.00847457627118644,0.0,5.167466907265784e-97,9.0
Jabing,0.00847457627118644,0.0,5.167466907265784e-97,14.714285714285714
Anggis Devaki,0.00847457627118644,0.0,5.167466907265784e-97,63.0
Betrand Putra Onsu,0.00847457627118644,0.0,5.167466907265784e-97,63.0
Etenia Croft,0.01694915254237288,0.00014486455164421265,5.138571007424806e-84,21.454545454545453
Farel Prayoga,0.00847457627118644,0.0,3.633518404958669e-84,18.0
Liza Aditya,0.00847457627118644,0.0,5.167466907265784e-97,3.0
Rusli Zainudin,0.00847457627118644,0.0,5.167466907265784e-97,3.272727272727273
Tom & His Free Mockingbirds,0.00847457627118644,0.0,5.167466907265784e-97,14.0
keavi,0.00847457627118644,0.0,5.167466907265784e-97,14.0
AUDREY NUNA,0.03389830508474576,0.0,0.0001048006546169013,95.75
EJAE,0.059322033898305086,0.000651890482398957,0.00017576805666469702,95.4
HUNTR/X,0.03389830508474576,0.0,0.0001048006546169013,95.75
REI AMI,0.03389830508474576,0.0,0.0001048006546169013,95.75
IDM Band,0.00847457627118644,0.0,3.6897471672342103e-47,35.0
Wira Abdi,0.01694915254237288,0.0007243227582210633,1.1761635640772218e-46,34.75
Berama,0.00847457627118644,0.0,5.167466907265784e-97,11.5
Roby Geisha,0.00847457627118644,0.0,5.167466907265784e-97,13.0
F4dli,0.00847457627118644,0.0,5.167466907265784e-97,77.0
MikkyZia,0.00847457627118644,0.0,5.167466907265784e-97,77.0
Raisa,0.01694915254237288,0.0002897291032884253,1.8160298657100934e-78,63.5
Rony Parulian,0.01694915254237288,0.0002897291032884253,1.8160298657100934e-78,70.6
Mus Kamal,0.00847457627118644,0.0,5.167466907265784e-97,25.0
Ryaas Randa,0.00847457627118644,0.0,5.167466907265784e-97,25.0
Namoy Budaya,0.00847457627118644,0.0,5.167466907265784e-97,61.0
weaken amore,0.00847457627118644,0.0,5.167466907265784e-97,61.0
Arslan Nizami,0.025423728813559324,0.0,1.88806533645555e-49,89.0
Faheem Abdullah,0.025423728813559324,0.0,1.88806533645555e-49,89.0
Irshad Kamil,0.025423728813559324,0.0,1.88806533645555e-49,89.0
Tanishk Bagchi,0.025423728813559324,0.0,1.88806533645555e-49,89.0
Tya Subiakto,0.0423728813559322,0.001593510068086339,3.3802272387584858e-46,26.2
Fred again..,0.01694915254237288,0.0,3.433180482092443e-69,84.0
PlaqueBoyMax,0.01694915254237288,0.0,3.433180482092443e-69,84.0
Skepta,0.01694915254237288,0.0,3.433180482092443e-69,84.0
Foni Susanti,0.01694915254237288,0.00014486455164421265,5.138571007424806e-84,3.5
Olla Zahra,0.00847457627118644,0.0,3.633518404958669e-84,4.5
TERUNA,0.00847457627118644,0.0,5.167466907265784e-97,21.25
Zufari,0.00847457627118644,0.0,5.167466907265784e-97,28.0
Jemsii,0.025423728813559324,7.243227582210633e-05,2.2565764476961953e-57,82.0
Suisei,0.01694915254237288,0.0,1.761881649609076e-57,82.0
Tenxi,0.025423728813559324,7.243227582210633e-05,2.2565764476961953e-57,82.0
Dzulfahmi,0.00847457627118644,0.0,5.167466907265784e-97,53.0
White Chorus,0.00847457627118644,0.0,5.167466907265784e-97,53.0
Dandy Barakati,0.00847457627118644,0.0,5.167466907265784e-97,71.0
Dante Nababan,0.00847457627118644,0.0,5.167466907265784e-97,71.0
Barsena Bestandhi,0.00847457627118644,0.0,1.122368181593745e-78,59.333333333333336
Eddy Sutrisna,0.025423728813559324,0.00043459365493263795,1.7832945309889278e-75,1.0
Natawidjadja's Singers,0.00847457627118644,0.0,1.0295855775108447e-75,1.0
Sam Tinnesz,0.01694915254237288,0.0,3.433180482092443e-69,65.0
Tommee Profitt,0.01694915254237288,0.0,3.433180482092443e-69,65.0
brooke,0.01694915254237288,0.0,3.433180482092443e-69,65.0
JVSAN,0.00847457627118644,0.0,5.167466907265784e-97,32.0
gazeng,0.00847457627118644,0.0,5.167466907265784e-97,32.0
Ade Febrianto,0.01694915254237288,0.0,0.060740703523956684,4.0
Bowo Soulmate,0.01694915254237288,0.0,0.060740703523956684,4.0
THE GRNM,0.0847457627118644,0.003766478342749529,0.3692784844242515,6.0
AVIWKILA,0.00847457627118644,0.0,3.633518404958669e-84,10.0
Alex Kuple,0.025423728813559324,0.0,2.846139137703196e-46,37.0
Bima Wp,0.025423728813559324,0.0,2.846139137703196e-46,37.0
Rendy Suryadi,0.025423728813559324,0.0,2.846139137703196e-46,37.0
Charita Utami,0.00847457627118644,0.0,5.167466907265784e-97,80.0
Fourtwnty,0.00847457627118644,0.0,5.167466907265784e-97,80.0
Dyno Wibisono,0.00847457627118644,0.0,5.167466907265784e-97,4.0
Tomi Temp,0.00847457627118644,0.0,5.167466907265784e-97,4.0
Bon Iver,0.00847457627118644,0.0,5.167466907265784e-97,81.0
Taylor Swift,0.00847457627118644,0.0,5.167466907265784e-97,81.0
Jasper Supayah,0.00847457627118644,0.0,1.0604123660812682e-46,40.0
Jinu,0.03389830508474576,0.0,0.0001350018194111103,94.0
Rumi,0.03389830508474576,0.0,0.0001350018194111103,94.0
Ncum,0.00847457627118644,0.0,5.167466907265784e-97,81.0
Rombongan Bodonk Koplo,0.00847457627118644,0.0,5.167466907265784e-97,81.0
Celina,0.059322033898305086,0.0,0.34778699189413975,4.0
Chandra Rian,0.059322033898305086,0.0,0.34778699189413975,4.0
Kendah,0.059322033898305086,0.0,0.34778699189413975,4.0
Meha,0.06779661016949153,0.0014486455164421266,0.3539753546638635,5.666666666666667
Soraya,0.059322033898305086,0.0,0.34778699189413975,4.0
Swain,0.059322033898305086,0.0,0.34778699189413975,4.0
mahalinda,0.059322033898305086,0.0,0.34778699189413975,4.0
Andi Rianto,0.00847457627118644,0.0,1.122368181593745e-78,67.0
Simfoni Semesta Band,0.00847457627118644,0.0,1.0295855775108447e-75,1.0
Velvet Sunrise,0.00847457627118644,0.0,1.0295855775108447e-75,1.0
Naykilla,0.01694915254237288,0.0,1.761881649609076e-57,82.0
Gusti Irwan Wibowo,0.01694915254237288,0.00014486455164421265,5.138571007424806e-84,51.0
Nehru Rindra,0.00847457627118644,0.0,3.633518404958669e-84,53.0
Angie Carvalho,0.00847457627118644,0.0,5.167466907265784e-97,66.0
Yovie Widianto,0.00847457627118644,0.0,5.167466907265784e-97,66.0
Shayan Malik,0.00847457627118644,0.0,0.04999942485128062,7.0
Feby Putri,0.00847457627118644,0.0,5.167466907265784e-97,79.0
Fiersa Besari,0.00847457627118644,0.0,5.167466907265784e-97,79.0
Diva Aurel,0.025423728813559324,0.0,1.88806533645555e-49,85.0
Jacson Seran,0.025423728813559324,0.0,1.88806533645555e-49,85.0
Juan Reza,0.025423728813559324,0.0,1.88806533645555e-49,81.5
Silet Open Up,0.025423728813559324,0.0,1.88806533645555e-49,85.0
Tefira Kirana,0.00847457627118644,0.0,5.167466907265784e-97,2.0
Teguh Sants,0.00847457627118644,0.0,5.167466907265784e-97,2.0
Aziz Hedra,0.00847457627118644,0.0,5.167466907265784e-97,50.0
Sisca Saras,0.00847457627118644,0.0,5.167466907265784e-97,50.0
Adrian Khalif,0.00847457627118644,0.0,3.633518404958669e-84,71.0
Hifdzikhoir,0.00847457627118644,0.0,3.633518404958669e-84,49.0
Kirana Setio,0.00847457627118644,0.0,0.05216100948242112,10.0
Rara Riezky Julia,0.00847457627118644,0.0,3.633518404958669e-84,4.0
Fresly Nikijuluw,0.01694915254237288,0.0,3.433180482092443e-69,78.0
